1bf,e2ba,2
1f90,32d4,2
1f90,462,2
1f90,4adb,2
1f90,4c6,2
1f90,5fc,2
1f90,849a,2
217,243c,3
217,2475,2
217,2693,2
217,32d4,2
217,3b0,2
217,462,4
217,4adb,3
217,4c6,4
217,570,5
217,5fc,6
217,78e,3
217,849a,5
217,860,3
217,9,2
217,9c9,3
217,9d7,6
217,b,3
217,c1d,2
217,e2ba,2
217,e4,2
243c,2475,2
243c,2693,2
243c,32d4,2
243c,3b0,2
243c,462,3
243c,4adb,2
243c,4c6,4
243c,570,3
243c,5fc,4
243c,78e,2
243c,849a,3
243c,860,3
243c,9,2
243c,9c9,3
243c,9d7,3
243c,b,2
243c,c1d,2
243c,e2ba,2
2475,2693,3
2475,32d4,3
2475,36d5,3
2475,462,3
2475,4adb,4
2475,4c6,3
2475,570,3
2475,5fc,3
2475,78e,2
2475,849a,4
2475,860,2
2475,9c9,3
2475,9d7,3
2475,b,3
2475,c1d,3
2693,32d4,2
2693,36d5,2
2693,462,4
2693,4adb,3
2693,4c6,3
2693,570,3
2693,5fc,2
2693,78e,2
2693,849a,3
2693,860,3
2693,9c9,2
2693,9d7,4
2693,b,3
2693,c1d,2
32d4,36d5,2
32d4,4adb,4
32d4,4c6,3
32d4,78e,2
32d4,849a,4
32d4,9c9,3
32d4,9d7,2
32d4,b,2
32d4,c1d,2
36d5,462,2
36d5,4adb,3
36d5,4c6,2
36d5,570,3
36d5,5fc,2
36d5,849a,4
36d5,9c9,2
36d5,9d7,2
36d5,b,2
36d5,c1d,3
3b0,4c6,2
3b0,570,2
3b0,5fc,2
3b0,849a,3
3b0,9,2
3b0,9d7,3
3b0,c1d,2
3b0,e2ba,2
462,4adb,6
462,4c6,8
462,78e,3
462,849a,5
462,9c9,4
462,9d7,8
462,b,6
462,c1d,2
4adb,4c6,7
4adb,570,8
4adb,5fc,6
4adb,78e,2
4adb,849a,7
4adb,860,2
4adb,9c9,3
4adb,9d7,6
4adb,b,6
4adb,c1d,3
4adb,e4,2
4c6,570,9
4c6,5fc,8
4c6,78e,2
4c6,849a,6
4c6,860,4
4c6,9,2
4c6,9c9,4
4c6,9d7,8
4c6,b,5
4c6,c1d,3
4c6,e2ba,2
570,78e,2
570,849a,8
570,9,2
570,9c9,5
570,b,6
570,c1d,4
570,e2ba,2
570,e4,3
5fc,78e,3
5fc,849a,8
5fc,9,2
5fc,9c9,6
5fc,9d7,8
5fc,b,5
5fc,c1d,3
5fc,e2ba,2
5fc,e4,3
78e,849a,2
78e,860,3
78e,9c9,2
78e,9d7,3
78e,b,3
849a,860,3
849a,9,2
849a,9c9,4
849a,9d7,8
849a,b,4
849a,c1d,4
849a,e2ba,2
849a,e4,3
860,9c9,3
860,b,3
9,9d7,2
9,c1d,2
9,e2ba,2
9c9,9d7,4
9c9,b,2
9c9,c1d,2
9c9,e4,2
9d7,b,5
9d7,c1d,3
9d7,e2ba,2
9d7,e4,2
b,c1d,2
b,e4,2
c1d,e2ba,2
1023,12ba7,2
1023,176c,3
1023,18cc,2
1023,195f,4
1023,1fe5,3
1023,1fef,2
1023,2005,2
1023,2087,3
1023,2144,4
1023,2c3e,2
1023,3038,4
1023,3b31,2
1023,3e4,2
1023,462,6
1023,480,3
1023,49ae,3
1023,4a35,6
1023,4adb,5
1023,4c6,5
1023,5038,4
1023,570,4
1023,5fc,7
1023,6d63,2
1023,747,4
1023,7a64,4
1023,8553,4
1023,9d7,4
1023,ae0e,4
1023,b,3
1023,efe,2
12ba7,195f,2
12ba7,1fe5,2
12ba7,3e4,2
12ba7,49ae,2
12ba7,4a35,2
12ba7,7a64,3
176c,18cc,2
176c,195f,3
176c,1970,3
176c,1fe5,5
176c,1fef,5
176c,2005,4
176c,2087,5
176c,2144,5
176c,2c3e,4
176c,3038,6
176c,30fd,3
176c,3ae2,2
176c,3e4,3
176c,462,6
176c,475,3
176c,480,5
176c,4858,2
176c,49ae,3
176c,4a35,5
176c,4adb,4
176c,4c6,3
176c,4d62,3
176c,5038,6
176c,570,6
176c,5e81,4
176c,5fc,4
176c,6891,5
176c,6d63,3
176c,6ea9,3
176c,747,5
176c,7a64,3
176c,8553,6
176c,9d7,5
176c,ae0e,4
176c,b,5
176c,bdc7,2
176c,efe,3
18cc,1fef,2
18cc,2c3e,4
18cc,462,4
18cc,475,3
18cc,480,2
18cc,4a35,3
18cc,4adb,3
18cc,4c6,4
18cc,4d62,2
18cc,5038,2
18cc,5e81,3
18cc,5fc,3
18cc,6d63,5
18cc,6ea9,3
18cc,747,4
18cc,8553,3
18cc,b,2
195f,1970,2
195f,1fef,2
195f,2c3e,2
195f,3038,2
195f,30fd,2
195f,3e4,3
195f,462,4
195f,480,2
195f,49ae,3
195f,4a35,5
195f,4adb,2
195f,4c6,2
195f,4d62,2
195f,5038,3
195f,5fc,4
195f,6d63,2
195f,6ea9,2
195f,747,3
195f,8553,2
195f,ae0e,4
195f,b,3
195f,efe,3
1970,1fe5,3
1970,1fef,2
1970,2087,2
1970,2144,2
1970,2c3e,3
1970,3038,3
1970,30fd,2
1970,3ae2,2
1970,3e4,2
1970,462,2
1970,475,2
1970,480,2
1970,49ae,2
1970,4a35,2
1970,4adb,2
1970,4d62,2
1970,5038,2
1970,570,3
1970,5e81,2
1970,6891,3
1970,6d63,2
1970,6ea9,2
1970,747,2
1970,8553,3
1970,9d7,2
1970,ae0e,2
1970,b,2
1970,efe,2
1fe5,2087,4
1fe5,2c3e,3
1fe5,3038,5
1fe5,3ae2,2
1fe5,3e4,4
1fe5,462,4
1fe5,475,2
1fe5,480,4
1fe5,4858,2
1fe5,49ae,3
1fe5,4a35,4
1fe5,4adb,3
1fe5,4c6,2
1fe5,4d62,2
1fe5,5fc,4
1fe5,6ea9,2
1fe5,747,3
1fe5,ae0e,3
1fe5,b,3
1fe5,bdc7,2
1fe5,efe,2
1fef,2005,4
1fef,2c3e,3
1fef,3038,5
1fef,3e4,3
1fef,462,5
1fef,475,2
1fef,480,5
1fef,4858,2
1fef,4a35,4
1fef,4adb,3
1fef,4c6,3
1fef,4d62,3
1fef,5fc,3
1fef,6891,4
1fef,7a64,3
1fef,9d7,5
1fef,ae0e,3
1fef,b,3
1fef,bdc7,2
1fef,efe,2
2005,2087,5
2005,2144,3
2005,2c3e,3
2005,3038,5
2005,30fd,2
